"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote"
"TVE","Tennessee Valley Authority",23.9,0,"n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tve"
"TDC","Teradata Corporation",48.1,7674340329.5,"n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/tdc"
"TER","Teradyne, Inc.",19.52,3786441658.88,"n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/ter"
"TEX","Terex Corporation",43.28,4791096000,"n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/tex"
"TX","Ternium S.A.",28.94,5801727515.36,"n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tx"
"TNH","Terra Nitrogen Company, L.P.",153,2830741128,"n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/tnh"
"TRNO","Terreno Realty Corporation",18.85,471829203.95,"n/a",2010,"Finance","Real Estate","http://www.nasdaq.com/symbol/trno"
"TSO","Tesoro Corporation",50.5,6615649379,"n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/tso"
"TLLP","Tesoro Logistics LP",59.96,3264890174.52,"n/a",2011,"Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tllp"
"TTI","Tetra Technologies, Inc.",12.62,995780014.68,"n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tti"
"TEVA","Teva Pharmaceutical Industries Limited",49.45,46822628781.25,"n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/teva"
"TXI","Texas Industries, Inc.",88.62,2536547307.42,"n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/txi"
"TPL","Texas Pacific Land Trust",126.51,1071944785.02,"n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/tpl"
"TGH","Textainer Group Holdings Limited",37.65,2133025208.4,"n/a",2007,"Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/tgh"
"TXT","Textron Inc.",38.53,10729234487.9,"n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/txt"
"TXTR","Textura Corporation",25.49,632316002.66,"n/a",2013,"Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/txtr"
"TTF","Thai Fund, Inc. (The)",10.77,162584910.84,"n/a",1988,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/ttf"
"AES","The AES Corporation",14.29,10344924303.67,"n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes"
"BX","The Blackstone Group L.P.",33.04,38123010815.12,"n/a",2007,"Finance","Investment Managers","http://www.nasdaq.com/symbol/bx"
"SCHW","The Charles Schwab Corporation",27.19,35308033168.11,"n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/schw"
"CEB","The Corporate Executive Board Company",72.75,2446813845,"n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ceb"
"SRV","The Cushing MLP Total Return Fund",8.19,273299366.34,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/srv"
"SRF","The Cushing Royalty & Income Fund",18.72,179527289.76,"n/a",2012,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/srf"
"DNY","The Denali Fund",20.32,84472617.44,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/dny"
"GRX","The Gabelli Healthcare & Wellness Trust",10.27,115203314.2,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/grx"
"GDL","The GDL Fund",11.02,231818692.58,"n/a",2007,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/gdl"
"THG","The Hanover Insurance Group, Inc.",60.44,2652231887.72,"n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/thg"
"THGA","The Hanover Insurance Group, Inc.",22.99,0,"n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/thga"
"TRV","The Travelers Companies, Inc.",83.99,29591956068.65,"n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/trv"
"TMO","Thermo Fisher Scientific Inc",118.5,46427374989,"n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tmo"
"THR","Thermon Group Holdings, Inc.",22.89,728701501.92,"n/a",2011,"Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/thr"
"TPRE","Third Point Reinsurance Ltd.",15.84,1646170368.48,"n/a",2013,"Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/tpre"
"TSLF","THL Credit Senior Loan Fund",18.216,0,"n/a",2013,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tslf"
"TC","Thompson Creek Metals Company Inc.",2.18,373911012.34,"n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tc"
"TRI","Thomson Reuters Corp",34.06,27784611008.44,"n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/tri"
"THO","Thor Industries, Inc.",60.48,3223916156.16,"n/a","n/a","Consumer Non-Durables","Homebuilding","http://www.nasdaq.com/symbol/tho"
"TDW","Tidewater Inc.",48.4,2402561044.4,"n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/tdw"
"TIF","Tiffany & Co.",85.05,10890509956.2,"n/a",1987,"Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/tif"
"TLYS","Tilly&#39;s, Inc.",11.48,321589297.4,"n/a",2012,"Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tlys"
"THI","Tim Hortons Inc.",54.71,7559024000.68,"n/a",2006,"Consumer Services","Restaurants","http://www.nasdaq.com/symbol/thi"
"TSU","TIM Participacoes S.A.",25.84,12494325509.36,"n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tsu"
"TWC","Time Warner Cable Inc",135.87,37697293592.91,"n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/twc"
"TWX","Time Warner Inc.",64.65,57710547614.4,"n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/twx"
"TKR","Timken Company (The)",58.59,5436060819.84,"n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/tkr"
"TWI","Titan International, Inc.",18.5,991067311,"n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/twi"
"TJX","TJX Companies, Inc. (The)",60.1,42743050464.3,"n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tjx"
"TMUS","T-Mobile US, Inc.",32.6,26160015982.8,"n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tmus"
"TOL","Toll Brothers Inc.",35.72,6347193960,"n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tol"
"TR","Tootsie Roll Industries, Inc.",29.41,1821993232.67,"n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/tr"
"TMK","Torchmark Corporation",77.35,6841710143.45,"n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/tmk"
"TTC","Toro Company (The)",62.88,3546529841.28,"n/a","n/a","Capital Goods","Tools/Hardware","http://www.nasdaq.com/symbol/ttc"
"TD","Toronto Dominion Bank (The)",46.54,85737980842.8,"n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/td"
"TYY","Tortoise Energy Capital Corporation",33.2,666399098.4,"n/a",2005,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tyy"
"NDP","Tortoise Energy Independence Fund, Inc.",24.83,360434042.93,"n/a",2012,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/ndp"
"TYG","Tortoise Energy Infrastructure Corporation",46.09,1304178633.23,"n/a",2004,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tyg"
"NTG","Tortoise MLP Fund, Inc.",26.55,1247855602.05,"n/a",2010,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/ntg"
"TYN","Tortoise North American Energy Corporation",29.23,184464713.23,"n/a",2005,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tyn"
"TTP","Tortoise Pipeline & Energy Fund, Inc.",29.09,291377454.17,"n/a",2011,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/ttp"
"TPZ","Tortoise Power and Energy Infrastructure Fund, Inc",25.4,176563858.2,"n/a",2009,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tpz"
"TSS","Total System Services, Inc.",30.42,5714643979.98,"n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tss"
"TOT","TotalFinaElf, S.A.",65.98,149641385126.38,"n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tot"
"TOWR","Tower International, Inc.",27.06,557190701.1,"n/a",2010,"Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/towr"
"TW","Towers Watson & Co",110.14,7767803028.2,"n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/tw"
"TM","Toyota Motor Corp Ltd Ord",112.83,178797831156.66,"n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/tm"
"TSLX","TPG Specialty Lending, Inc.",16.2,0,"n/a",2014,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tslx"
"TAC","TransAlta Corporation",11.54,3119989735.48,"n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tac"
"TAI","Transamerica Income Shares, Inc.",20.768,131228236.128,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tai"
"TRP","TransCanada Corporation",45.16,31955055636.84,"n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/trp"
"TCI","Transcontinental Realty Investors, Inc.",14.56,122500108.64,"n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/tci"
"TDG","Transdigm Group Incorporated",183.86,9701871896.04,"n/a",2006,"Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/tdg"
"TLP","Transmontaigne Partners L.P.",43.1,694968794.6,"n/a",2005,"Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tlp"
"RIG","Transocean Ltd.",41.19,14870590340.34,"n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rig"
"TGS","Transportadora De Gas Sa Ord B",2.21,351166913.76,"n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tgs"
"TA","TravelCenters of America LLC",8.05,302892165.8,"n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/ta"
"TANN","TravelCenters of America LLC",26.19,0,"n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tann"
"TRR","TRC Companies, Inc.",6.36,188788783.56,"n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/trr"
"TG","Tredegar Corporation",22.49,726542711.05,"n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/tg"
"THS","Treehouse Foods, Inc.",71.45,2609602288.75,"n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ths"
"TRMR","Tremor Video, Inc.",4.07,202107152.39,"n/a",2013,"Technology","Advertising","http://www.nasdaq.com/symbol/trmr"
"TREX","Trex Company, Inc.",71.13,1191584910.69,"n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/trex"
"TY","Tri Continental Corporation",19.93,1254091602.81,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/ty"
"TPH","Tri Pointe Homes, Inc.",16.51,521933321.13,"n/a",2013,"Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tph"
"TCAP","Triangle Capital Corporation",26.05,726185117.4,"n/a",2007,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tcap"
"TCC","Triangle Capital Corporation",25.79,0,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tcc"
"TCCA","Triangle Capital Corporation",24.8,0,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tcca"
"TSL","Trina Solar Limited",13.47,1063597342.32,"n/a",2006,"Technology","Semiconductors","http://www.nasdaq.com/symbol/tsl"
"TNET","TriNet Group, Inc.",21.31,0,"n/a",2014,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tnet"
"TRN","Trinity Industries, Inc.",70.85,5489874314.6,"n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/trn"
"TPVG","TriplePoint Venture Growth BDC Corp.",16.09,138250637.97,"n/a",2014,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tpvg"
"GTS","Triple-S Management Corporation",15.71,428649957.86,"n/a",2007,"Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/gts"
"TGI","Triumph Group, Inc.",63.68,3340705654.4,"n/a",1996,"Capital Goods","Aerospace","http://www.nasdaq.com/symbol/tgi"
"TROX","Tronox Limited",23.72,2692789161.4,"n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/trox"
"TBI","TrueBlue, Inc.",28.79,1183315697.38,"n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/tbi"
"TRLA","Trulia, Inc.",33.57,1236150459.9,"n/a",2012,"Technology","EDP Services","http://www.nasdaq.com/symbol/trla"
"TRW","TRW Automotive Holdings Corporation",79.71,9111184832.73,"n/a",2004,"Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/trw"
"TNP","Tsakos Energy Navigation Ltd",7.59,546072379.05,"n/a",2002,"Transportation","Marine Transportation","http://www.nasdaq.com/symbol/tnp"
"TUMI","Tumi Holdings, Inc.",22.85,1550753340.95,"n/a",2012,"Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/tumi"
"TUP","Tupperware Brands Corporation",82.25,4141966473.75,"n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/tup"
"TKC","Turkcell Iletisim Hizmetleri AS",13.53,11906400000,"n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tkc"
"TKF","Turkish Investment Fund, Inc. (The)",10.48,60293347.36,"n/a",1989,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/tkf"
"TRQ","Turquoise Hill Resources Ltd.",3.42,6881866179.66,"n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trq"
"TPC","Tutor Perini Corporation",28.17,1364032725.39,"n/a","n/a","Basic Industries","General Bldg Contractors - Nonresidential Bldgs","http://www.nasdaq.com/symbol/tpc"
"TWTR","Twitter, Inc.",47.3,27830284650.3,"n/a",2013,"Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/twtr"
"TWO","Two Harbors Investments Corp",10.2,3733639497.6,"n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/two"
"TYC","Tyco International, Ltd. (Switzerland)",41.81,19245496712.6,"n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/tyc"
"TYL","Tyler Technologies, Inc.",82.77,2725202250,"n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tyl"
"TSN","Tyson Foods, Inc.",43.15,14683337102.8,"n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/tsn"
"USB","U.S. Bancorp",42.3,76988344562.1,"n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb"
"USPH","U.S. Physical Therapy, Inc.",33.79,412182753.35,"n/a",1992,"Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/usph"
"SLCA","U.S. Silica Holdings, Inc.",36.53,1956250139.87,"n/a",2012,"Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/slca"
"UBS","UBS AG",20.26,77838961917.94,"n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ubs"
"UCP","UCP, Inc.",15.3,119884098.6,"n/a",2013,"Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ucp"
"UGI","UGI Corporation",44.8,5141203379.2,"n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ugi"
"UIL","UIL Holdings Corporation",36.22,2047540106.78,"n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/uil"
"UPL","Ultra Petroleum Corp.",27.05,4138382827.15,"n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/upl"
"UGP","Ultrapar Participacoes S.A.",24.13,12943632177.2,"n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ugp"
"UMH","UMH Properties, Inc.",9.69,207451911.54,"n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/umh"
"UA","Under Armour, Inc.",115.22,10000233808.74,"n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ua"
"UFI","Unifi, Inc.",22.33,425165053.39,"n/a","n/a","Consumer Non-Durables","Textiles","http://www.nasdaq.com/symbol/ufi"
"UNF","Unifirst Corporation",107.38,2151433573.38,"n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/unf"
"UN","Unilever NV",41.07,124231988385.27,"n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/un"
"UL","Unilever PLC",42.62,128920558679.82,"n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ul"
"UNP","Union Pacific Corporation",184.75,83893740131,"n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/unp"
"UIS","Unisys Corporation",28.73,1469002766.14,"n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/uis"
"UNT","Unit Corporation",64.57,3200523304.11,"n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/unt"
